registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
930619900032,3,WILL,GANJAM,BERHAMPUR-I,OPEN WILL,03-May-1999,03-Apr-1999,,32,1999,True,True,render_gcs_ingest
930380700013,3,WILL,BOUDH,KANTAMAL,OPEN WILL,30-May-2007,30-May-2007,,,2007,True,False,render_gcs_ingest
930490400030,3,WILL,DEOGARH,DEOGARH,OPEN WILL,01-Nov-2004,06-Aug-2004,,30,2004,True,True,render_gcs_ingest
930389700009,3,WILL,BOUDH,KANTAMAL,OPEN WILL,18-Feb-1997,15-Sep-1997,,9,1997,True,False,render_gcs_ingest
930860900104,3,WILL,JHARSUGUDA,JHARSUGUDA,OPEN WILL,25-Nov-2009,25-Nov-2009,,104,2009,True,True,render_gcs_ingest
930610900259,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,24-Oct-2009,13-Oct-2009,,259,2009,True,True,render_gcs_ingest
931200900022,3,WILL,KORAPUT,KOTPAD,OPEN WILL,30-Apr-2009,24-Apr-2009,,,2009,True,True,render_gcs_ingest
940869500014,4,MISC,JHARSUGUDA,UNKNOWN,ADOPTION,06-Feb-1995,,,14,1995,True,True,render_gcs_ingest
930600200101,3,WILL,GANJAM,UNKNOWN,OPEN WILL,17-May-2002,17-May-2002,,101,2002,True,True,render_gcs_ingest
941169500001,4,MISC,UNKNOWN,UNKNOWN,ADOPTION,,,,,1995,True,True,render_gcs_ingest
930869900072,3,WILL,JHARSUGUDA,JHARSUGUDA,CANCELLATION OF OPEN WILL,17-Nov-1999,17-Nov-1999,,72,1999,True,True,render_gcs_ingest
930630300024,3,WILL,GANJAM,DIGAPAHANDI,OPEN WILL,25-Apr-2003,,,24,2003,True,True,render_gcs_ingest
931190800007,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,02-Feb-2008,02-Feb-2008,,7,2008,True,True,render_gcs_ingest
931660700033,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,2007,True,True,render_gcs_ingest
