registration_no,book_no,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,deed_volume_no,listed_on
910240600167,1,BHADRAK,BASUDEVPUR,SALE IMMOVABLE,28-Jan-2006,28-Jan-2006,21300,167,9,28-Jan-2006
911300000222,1,MAYURBHANJ,KARANJIA,RECTIFICATION MORE THAN ONE ERROR (IMMOVABLE),15-Feb-2000,15-Feb-2000,7000,222,10,15-Feb-2000
910780402310,1,JAJPUR,JAJPUR,SALE IMMOVABLE,20-Dec-2004,20-Dec-2004,7000,2310,61,20-Dec-2004
911100200241,1,KHORDHA,BANAPUR,SALE IMMOVABLE,15-Feb-2002,15-Feb-2002,6800,241,7,15-Feb-2002
910860201020,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,14-Jun-2002,14-Jun-2002,31500,1020,40,14-Jun-2002
911080201187,1,KHORDHA,KHORDHA(BBSR),LEASE WITH ADVANCE ONLY(IMMOVABLE),20-Feb-2002,20-Feb-2002,1050000,1187,51,20-Feb-2002
911080506619,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,13-Jun-2005,13-Jun-2005,15500,6619,373,13-Jun-2005
910130001059,1,BALESHWAR,SIMULIA,SALE IMMOVABLE,27-Jun-2000,27-Jun-2000,40000,1059,29,27-Jun-2000
910320601235,1,BALANGIR,PATNAGARH,SALE IMMOVABLE,01-Sep-2006,01-Sep-2006,17500,1235,59,01-Sep-2006
910170100559,1,BARAGADA,PADMAPUR,SALE IMMOVABLE,30-Apr-2001,30-Apr-2001,3500,559,317,30-Apr-2001
910570202858,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,28-Oct-2002,28-Oct-2002,66000,2858,2427,28-Oct-2002
911060301149,1,KENDUJHAR,HATADIHI,SALE IMMOVABLE,13-Aug-2003,13-Aug-2003,12000,1149,57,13-Aug-2003
911480100305,1,PURI,PURI,SALE IMMOVABLE,25-Jan-2001,25-Jan-2001,100000,305,9,25-Jan-2001
910060302878,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,23-Apr-2003,05-Apr-2003,17625,2878,177,05-Apr-2003
911400201608,1,NAYAGADA,ODAGAON,GIFT IMMOVABLE,27-Sep-2002,27-Sep-2002,11500,1608,41,27-Sep-2002
910030400145,1,ANUGOLA,CHHENDIPADA,SALE IMMOVABLE,01-Jan-2004,01-Jan-2004,50375,145,10,01-Jan-2004
911760600698,1,SUNDARAGADA,RAJGANGPUR,SALE IMMOVABLE,10-Nov-2006,10-Nov-2006,2000,698,41,10-Nov-2006
911150300643,1,KHORDHA,TANGI,SALE IMMOVABLE,01-Aug-2003,01-Aug-2003,35800,643,34,01-Aug-2003
911480505359,1,PURI,PURI,SALE IMMOVABLE,26-Oct-2005,26-Oct-2005,30000,5359,239,26-Oct-2005
910620401749,1,GANJAM,BUGUDA,SALE IMMOVABLE,01-Jul-2004,01-Jul-2004,0,1749,2057,01-Jul-2004
911080004473,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,08-Aug-2000,08-Aug-2000,85160,4473,180,08-Aug-2000
911390200963,1,NAYAGADA,KHANDAPARA,SALE IMMOVABLE,20-May-2002,20-May-2002,15000,963,29,20-May-2002
911220401059,1,KORAPUT,NANDPUR(POTTANGI),SALE IMMOVABLE,01-Nov-2004,01-Nov-2004,20000,1059,218,01-Nov-2004
911130000130,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,15-Jan-2000,15-Jan-2000,12580,130,7,15-Jan-2000
911690100135,1,SUBARNAPUR,RAMPUR,SALE IMMOVABLE,30-Jan-2001,30-Jan-2001,60000,135,08,30-Jan-2001
911130002983,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,10-Feb-2000,10-Feb-2000,49950,2983,118,10-Feb-2000
910800001644,1,JAJPUR,BARI,SALE IMMOVABLE,08-Aug-2000,08-Aug-2000,0,1644,33,08-Aug-2000
910940400395,1,KENDRAPADA,AALI,SALE IMMOVABLE,01-May-2004,01-May-2004,2000,395,23,01-May-2004
910390103130,1,KATAKA,KATAKA,SALE IMMOVABLE,25-May-2001,25-May-2001,300000,3130,112,25-May-2001
910460002857,1,KATAKA,NIALI,SALE IMMOVABLE,16-Dec-2000,16-Dec-2000,3300,2857,70,16-Dec-2000
911120001762,1,KHORDHA,JATANI,SALE IMMOVABLE,06-Nov-2000,06-Nov-2000,0,1762,60,06-Nov-2000
911080101199,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,20-Feb-2001,20-Feb-2001,105640,1199,51,20-Feb-2001
910660400466,1,GANJAM,KHALLIKOTE,SALE IMMOVABLE,15-Mar-2004,15-Mar-2004,25137,466,1289,15-Mar-2004
