registration_no,book_no,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,deed_volume_no,listed_on
910310402353,1,BALANGIR,BALANGIR,SALE IMMOVABLE,11-Oct-2004,11-Oct-2004,100000,2353,119,11-Oct-2004
910680402284,1,GANJAM,PURUSOTTAMPUR,SALE IMMOVABLE,01-Oct-2004,01-Oct-2004,6400,2284,2249,01-Oct-2004
911170102989,1,KORAPUT,JAYAPUR,SALE IMMOVABLE,27-Nov-2001,27-Nov-2001,40000,2989,2025,27-Nov-2001
910790601197,1,JAJPUR,BARACHANA,SALE IMMOVABLE,16-Sep-2006,16-Sep-2006,137500,1197,50,16-Sep-2006
910590103620,1,GANJAM,BHANJANAGAR,SALE IMMOVABLE,06-Nov-2001,06-Nov-2001,19400,3620,2600,06-Nov-2001
911130000243,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,21-Jan-2000,21-Jan-2000,61100,243,11,21-Jan-2000
911540100254,1,PURI,SATYABADI,SALE IMMOVABLE,26-Mar-2001,26-Mar-2001,10000,254,11,26-Mar-2001
910390402567,1,KATAKA,KATAKA,SALE IMMOVABLE,24-May-2004,24-May-2004,0,2567,165,24-May-2004
910780202068,1,JAJPUR,JAJPUR,SALE IMMOVABLE,11-Dec-2002,11-Dec-2002,1500,2068,72,11-Dec-2002
910750101010,1,JAGATSINGHPUR,KUJANGA,SALE IMMOVABLE,10-Apr-2001,10-Apr-2001,17500,1010,30,10-Apr-2001
910370301501,1,BOUDH,BOUDH,SALE IMMOVABLE,26-Dec-2003,26-Dec-2003,8000,1501,70,26-Dec-2003
911020101992,1,KENDUJHAR,SAINKUL,SALE IMMOVABLE,16-Nov-2001,16-Nov-2001,6500,1992,36,16-Nov-2001
910570200378,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,15-Feb-2002,15-Feb-2002,29100,378,2357,15-Feb-2002
910550000457,1,GAJAPATI,PARALAKHEMUNDI,SALE IMMOVABLE,06-Mar-2000,06-Mar-2000,5400,457,8,06-Mar-2000
911560000682,1,PURI,KANAS,SALE IMMOVABLE,15-Sep-2000,15-Sep-2000,4800,682,21,15-Sep-2000
910780101933,1,JAJPUR,JAJPUR,SALE IMMOVABLE,06-Nov-2001,06-Nov-2001,10000,1933,56,06-Nov-2001
910960602462,1,KENDRAPADA,MARSAGHAI,SALE IMMOVABLE,15-Dec-2006,15-Dec-2006,20000,2462,143,15-Dec-2006
910980401270,1,KENDRAPADA,RAJNAGAR,LEASE WITH ADVANCE ONLY(IMMOVABLE),20-Nov-2004,20-Nov-2004,9999,1270,37,20-Nov-2004
910360001042,1,BALANGIR,LUISINGA,SALE IMMOVABLE,17-Oct-2000,17-Oct-2000,7000,1042,34,17-Oct-2000
911150300801,1,KHORDHA,TANGI,SALE IMMOVABLE,01-Nov-2003,01-Nov-2003,47400,801,41,01-Nov-2003
911620002392,1,SAMBALPUR,SAMBALPUR,SALE IMMOVABLE,01-Dec-2000,01-Dec-2000,63300,2392,825,01-Dec-2000
910270101568,1,BHADRAK,CHANDBALI,MORTGAGE WITHOUT POSSESION,30-May-2001,30-May-2001,323000,1568,42,30-May-2001
911570200159,1,PURI,KRUSHNAPRASAD,SALE IMMOVABLE,01-Aug-2002,01-Aug-2002,54100,159,3,01-Aug-2002
910790301216,1,JAJPUR,BARACHANA,SALE IMMOVABLE,12-Sep-2003,12-Sep-2003,6200,1216,37,12-Sep-2003
911480103161,1,PURI,PURI,SALE IMMOVABLE,27-Jun-2001,27-Jun-2001,10000,3161,94,27-Jun-2001
911370603690,1,NAYAGADA,NAYAGADA,SALE IMMOVABLE,01-Nov-2006,01-Nov-2006,9000,3690,171,01-Nov-2006
911580201315,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,21-Nov-2002,21-Nov-2002,16000,1315,39,21-Nov-2002
910690101147,1,GANJAM,SORADA,SALE IMMOVABLE,28-Aug-2001,28-Aug-2001,8100,1147,821,28-Aug-2001
911150400743,1,KHORDHA,TANGI,SALE IMMOVABLE,23-Jul-2004,23-Jul-2004,118875,743,37,23-Jul-2004
910760300929,1,JAGATSINGHPUR,RAGHUNATHPUR,SALE IMMOVABLE,19-Jul-2003,19-Jul-2003,4050,929,46,19-Jul-2003
911500201227,1,PURI,GOP,SALE IMMOVABLE,22-Oct-2002,22-Oct-2002,7500,1227,37,22-Oct-2002
910390200473,1,KATAKA,KATAKA,SALE IMMOVABLE,30-Jan-2002,30-Jan-2002,22000,473,20,30-Jan-2002
911580001587,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,17-Oct-2000,17-Oct-2000,22500,1587,0,17-Oct-2000
910630303611,1,GANJAM,DIGAPAHANDI,SALE IMMOVABLE,21-Nov-2003,21-Nov-2003,24800,3611,2314,21-Nov-2003
911520500802,1,PURI,NIMAPADA,SALE IMMOVABLE,04-May-2005,04-May-2005,12000,802,39,04-May-2005
910070600986,1,BALESHWAR,BALIAPAL,GIFT IMMOVABLE,24-May-2006,24-May-2006,3700,986,52,24-May-2006
911580501637,1,RAYAGADA,RAYAGADA,SALE IMMOVABLE,21-Oct-2005,21-Oct-2005,12000,1637,43,21-Oct-2005
911000300573,1,KENDUJHAR,KENDUJHAR,SALE IMMOVABLE,26-Mar-2003,26-Mar-2003,30000,573,35,26-Mar-2003
910340000864,1,BALANGIR,KANTABANJHI,SALE IMMOVABLE,08-Aug-2000,08-Aug-2000,10000,864,26,08-Aug-2000
910810200540,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,26-Mar-2002,26-Mar-2002,2400,540,14,26-Mar-2002
910580001593,1,GANJAM,ASIKA,SALE IMMOVABLE,20-May-2000,20-May-2000,6000,1593,2143,20-May-2000
911530001451,1,PURI,PIPILI,SALE IMMOVABLE,28-Aug-2000,28-Aug-2000,5100,1451,38,28-Aug-2000
911510402068,1,PURI,KAKATPUR,SALE IMMOVABLE,28-Dec-2004,28-Dec-2004,15014,2068,105,28-Dec-2004
911120201803,1,KHORDHA,JATANI,SALE IMMOVABLE,29-Jul-2002,29-Jul-2002,935,1803,62,29-Jul-2002
911530500205,1,PURI,PIPILI,SALE IMMOVABLE,29-Jan-2005,29-Jan-2005,14826,205,12,29-Jan-2005
910550600316,1,GAJAPATI,PARALAKHEMUNDI,SALE IMMOVABLE,15-Feb-2006,15-Feb-2006,706150,316,15,15-Feb-2006
910640600605,1,GANJAM,HINJILIKATU,SALE IMMOVABLE,25-Mar-2006,25-Mar-2006,10278,605,2132,25-Mar-2006
911260600037,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,04-Jan-2006,04-Jan-2006,169680,37,3,04-Jan-2006
911480302296,1,PURI,PURI,SALE IMMOVABLE,28-May-2003,28-May-2003,23300,2296,96,28-May-2003
910100502837,1,BALESHWAR,JALESWARPUR,SALE IMMOVABLE,26-Sep-2005,26-Sep-2005,18550,2837,152,26-Sep-2005
911500600719,1,PURI,GOP,SALE IMMOVABLE,03-Jun-2006,03-Jun-2006,20000,719,30,03-Jun-2006
911380200604,1,NAYAGADA,DASHAPALLA,SALE IMMOVABLE,24-Jun-2002,24-Jun-2002,6400,604,19,24-Jun-2002
910810102753,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,27-Nov-2001,27-Nov-2001,12000,2753,67,27-Nov-2001
910440000725,1,KATAKA,MAHANGA,SALE IMMOVABLE,09-Jun-2000,09-Jun-2000,6500,725,20,09-Jun-2000
911130503362,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,01-Jun-2005,01-Jun-2005,162000,3362,217,01-Jun-2005
911000202076,1,KENDUJHAR,KENDUJHAR,SALE IMMOVABLE,16-Dec-2002,16-Dec-2002,15000,2076,77,16-Dec-2002
910610204807,1,GANJAM,BRAHMAPUR-I,RECONVEYANCE OF MORTGAGE,06-Nov-2002,06-Nov-2002,30000,4807,168,06-Nov-2002
910930502270,1,KENDRAPADA,KENDRAPADA,SALE IMMOVABLE,01-Aug-2005,01-Aug-2005,15000,2270,67,01-Aug-2005
910750202087,1,JAGATSINGHPUR,KUJANGA,SALE IMMOVABLE,29-Jul-2002,29-Jul-2002,4000,2087,61,29-Jul-2002
910780500369,1,JAJPUR,JAJPUR,SALE IMMOVABLE,23-Feb-2005,23-Feb-2005,4000,369,12,23-Feb-2005
910060405061,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,01-Jan-2004,01-Jan-2004,40000,5061,294,01-Jan-2004
911520000527,1,PURI,NIMAPADA,SALE IMMOVABLE,15-Apr-2000,15-Apr-2000,2500,527,16,15-Apr-2000
911480201759,1,PURI,PURI,SALE IMMOVABLE,27-Apr-2002,27-Apr-2002,4000,1759,58,27-Apr-2002
910880500251,1,KALAHANDI,BHABANIPATANA,SALE IMMOVABLE,08-Feb-2005,08-Feb-2005,11260,251,1072,08-Feb-2005
910890201305,1,KALAHANDI,DHARMAGADA,SALE IMMOVABLE,24-Jun-2002,24-Jun-2002,68800,1305,469,24-Jun-2002
911800100077,1,KORAPUT,MACHHAKUND,SALE IMMOVABLE,20-Apr-2001,20-Apr-2001,8000,77,22,20-Apr-2001
910060001693,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,10-Apr-2000,10-Apr-2000,22500,1693,62,10-Apr-2000
910400100657,1,KATAKA,ATHAGADA,SALE IMMOVABLE,16-Mar-2001,16-Mar-2001,8150,657,19,16-Mar-2001
910820101680,1,JAJPUR,DOLIPUR,SALE IMMOVABLE,04-Jun-2001,04-Jun-2001,9800,1680,42,04-Jun-2001
910940100780,1,KENDRAPADA,AALI,SALE IMMOVABLE,29-Jun-2001,29-Jun-2001,29600,780,16,29-Jun-2001
910840200349,1,JAJPUR,SUKINDA,SALE IMMOVABLE,01-May-2002,01-May-2002,20300,349,2,01-May-2002
910800400458,1,JAJPUR,BARI,SALE IMMOVABLE,14-May-2004,14-May-2004,0,458,24,14-May-2004
910240200211,1,BHADRAK,BASUDEVPUR,SALE IMMOVABLE,28-Jan-2002,28-Jan-2002,10700,211,7,28-Jan-2002
911370300498,1,NAYAGADA,NAYAGADA,SALE IMMOVABLE,14-Feb-2003,14-Feb-2003,20000,498,24,14-Feb-2003
910430501705,1,KATAKA,JAGATPUR,SALE IMMOVABLE,26-Sep-2005,26-Sep-2005,10125,1705,99,26-Sep-2005
910860101619,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,06-Nov-2001,06-Nov-2001,4000,1619,59,06-Nov-2001
911680100045,1,SUBARNAPUR,BINIKA,SALE IMMOVABLE WITH  AGREEMENT,10-Jan-2001,10-Jan-2001,17000,45,04,10-Jan-2001
911420001198,1,NUAPADA,NUAPADA,SALE IMMOVABLE,29-Jun-2000,29-Jun-2000,41000,1198,210,29-Jun-2000
910400600776,1,KATAKA,ATHAGADA,SALE IMMOVABLE,24-May-2006,24-May-2006,13000,776,36,24-May-2006
910600003827,1,GANJAM,BRAHMAPUR-II,SALE IMMOVABLE,15-Nov-2000,15-Nov-2000,2727,3827,2823,15-Nov-2000
910850500875,1,JAJPUR,MANGALPUR,SALE IMMOVABLE,22-Aug-2005,22-Aug-2005,34330,875,28,22-Aug-2005
910850101039,1,JAJPUR,MANGALPUR,SALE IMMOVABLE,07-Sep-2001,07-Sep-2001,15400,1039,30,07-Sep-2001
910270602150,1,BHADRAK,CHANDBALI,SALE IMMOVABLE,01-Nov-2006,01-Nov-2006,2000,2150,107,01-Nov-2006
910430300097,1,KATAKA,JAGATPUR,SALE IMMOVABLE,20-Jan-2003,20-Jan-2003,15000,97,7,20-Jan-2003
911020301263,1,KENDUJHAR,SAINKUL,SALE IMMOVABLE,02-Sep-2003,02-Sep-2003,28796,1263,59,02-Sep-2003
911500301404,1,PURI,GOP,SALE IMMOVABLE,01-Dec-2003,01-Dec-2003,5400,1404,52,01-Dec-2003
911080508063,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,23-Jul-2005,23-Jul-2005,101000,8063,418,23-Jul-2005
910060005730,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,21-Dec-2000,21-Dec-2000,27500,5730,206,21-Dec-2000
911090501107,1,KHORDHA,BALIPATNA,SALE IMMOVABLE,02-Aug-2005,02-Aug-2005,43500,1107,66,02-Aug-2005
910600603275,1,GANJAM,BRAHMAPUR-II,SALE IMMOVABLE,02-Aug-2006,02-Aug-2006,76760,3275,3747,02-Aug-2006
910580200124,1,GANJAM,ASIKA,SALE IMMOVABLE,15-Jan-2002,15-Jan-2002,4470,124,2225,15-Jan-2002
911330000855,1,NABARANGPUR,NABARANGPUR,SALE IMMOVABLE,10-Apr-2000,10-Apr-2000,15600,855,1255,10-Apr-2000
911130000888,1,KHORDHA,KHANDAGIRI,RECONVEYANCE OF MORTGAGE,06-Mar-2000,06-Mar-2000,200000,888,34,06-Mar-2000
910570200265,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,04-Feb-2002,04-Feb-2002,57480,265,2354,04-Feb-2002
910790001218,1,JAJPUR,BARACHANA,SALE IMMOVABLE,19-Jul-2000,19-Jul-2000,10000,1218,23,19-Jul-2000
910730000216,1,JAGATSINGHPUR,BALIKUDA,SALE IMMOVABLE,15-Feb-2000,15-Feb-2000,12000,216,6,15-Feb-2000
911170600219,1,KORAPUT,JAYAPUR,GIFT IMMOVABLE,03-Feb-2006,03-Feb-2006,150000,219,10/2006,03-Feb-2006
910180100182,1,BARAGADA,SOHELLA,SALE IMMOVABLE,20-Jan-2001,20-Jan-2001,6000,182,570,20-Jan-2001
910740400892,1,JAGATSINGHPUR,DEBIDOL,SALE IMMOVABLE,28-Dec-2004,28-Dec-2004,2640,892,54,28-Dec-2004
910820300370,1,JAJPUR,DOLIPUR,SALE IMMOVABLE,15-Feb-2003,15-Feb-2003,7500,370,17,15-Feb-2003
911140301897,1,KHORDHA,KHORDHA,SALE IMMOVABLE,23-Aug-2003,23-Aug-2003,3500,1897,81,23-Aug-2003
910750301322,1,JAGATSINGHPUR,KUJANGA,SALE IMMOVABLE,14-Jul-2003,14-Jul-2003,12000,1322,70,14-Jul-2003
910900601584,1,KALAHANDI,JAYAPATANA,SALE IMMOVABLE,30-Dec-2006,30-Dec-2006,0,1584,582,30-Dec-2006
910550403280,1,GAJAPATI,PARALAKHEMUNDI,SALE IMMOVABLE,28-Dec-2004,28-Dec-2004,560,3280,155,28-Dec-2004
911480402376,1,PURI,PURI,SALE IMMOVABLE,28-May-2004,28-May-2004,25000,2376,105,28-May-2004
911130404965,1,KHORDHA,KHANDAGIRI,SUPPLEMENTARY DEED (IMMOVABLE),01-Oct-2004,01-Oct-2004,95700,4965,342,01-Oct-2004
911480000905,1,PURI,PURI,GIFT IMMOVABLE,16-Mar-2000,16-Mar-2000,50000,905,30,16-Mar-2000
911130000356,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,28-Jan-2000,28-Jan-2000,90000,356,14,28-Jan-2000
911000200874,1,KENDUJHAR,KENDUJHAR,SALE IMMOVABLE,30-Apr-2002,30-Apr-2002,96000,874,31,30-Apr-2002
910580000422,1,GANJAM,ASIKA,SALE IMMOVABLE,01-Mar-2000,01-Mar-2000,8420,422,2125,01-Mar-2000
911560100634,1,PURI,KANAS,SALE IMMOVABLE,19-Jun-2001,19-Jun-2001,6250,634,21,19-Jun-2001
910060003460,1,BALESHWAR,BALESHWAR,RECTIFICATION  ONE ERROR (IMMOVABLE),11-Jul-2000,01-Jul-2000,109230,3460,123,01-Jul-2000
910860301248,1,JHARSUGUDA,JHARSUGUDA,LEASE RENT RESERVED(IMMOVABLE),23-Aug-2003,23-Aug-2003,0,1248,79,23-Aug-2003
910860001238,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,28-Jul-2000,28-Jul-2000,2400,1238,369,28-Jul-2000
911700101167,1,SUNDARAGADA,SUNDARAGADA,SALE IMMOVABLE,21-Nov-2001,21-Nov-2001,28060,1167,45,21-Nov-2001
910310500629,1,BALANGIR,BALANGIR,SALE IMMOVABLE,23-Feb-2005,23-Feb-2005,30000,629,29,23-Feb-2005
910570100299,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,01-Feb-2001,01-Feb-2001,224000,299,2267,01-Feb-2001
910240602259,1,BHADRAK,BASUDEVPUR,SALE IMMOVABLE,27-Sep-2006,27-Sep-2006,21200,2259,117,27-Sep-2006
910090201190,1,BALESHWAR,JALESWAR,SALE IMMOVABLE,20-Apr-2002,20-Apr-2002,2820,1190,28,20-Apr-2002
910670600342,1,GANJAM,PATRAPUR,SALE IMMOVABLE,20-Mar-2006,20-Mar-2006,2850,342,1181,20-Mar-2006
911130001702,1,KHORDHA,KHANDAGIRI,SALE IMMOVABLE,01-May-2000,01-May-2000,12000,1702,68,01-May-2000
910600403957,1,GANJAM,BRAHMAPUR-II,SALE IMMOVABLE,15-Sep-2004,15-Sep-2004,67400,3957,3390,15-Sep-2004
910770500198,1,JAGATSINGHPUR,TIRTOL,GIFT IMMOVABLE,18-Feb-2005,18-Feb-2005,12700,198,14,18-Feb-2005
910790000592,1,JAJPUR,BARACHANA,SALE IMMOVABLE,27-Apr-2000,27-Apr-2000,150000,592,13,27-Apr-2000
910260100365,1,BHADRAK,BANTA,SALE IMMOVABLE,31-Mar-2001,31-Mar-2001,6000,365,10,31-Mar-2001
910570001335,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,10-May-2000,10-May-2000,1129,1335,2204,10-May-2000
911520201203,1,PURI,NIMAPADA,SALE IMMOVABLE,03-Aug-2002,03-Aug-2002,8060,1203,34,03-Aug-2002
911080307523,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,22-Oct-2003,22-Oct-2003,302050,7523,507,22-Oct-2003
910580503086,1,GANJAM,ASIKA,SALE IMMOVABLE,15-Oct-2005,15-Oct-2005,7650,3086,2423,15-Oct-2005
911550000021,1,PURI,DELANGA,SALE IMMOVABLE,11-Jan-2000,11-Jan-2000,6500,21,1,11-Jan-2000
911500400576,1,PURI,GOP,SALE IMMOVABLE,19-Apr-2004,19-Apr-2004,7500,576,24,19-Apr-2004
911620402920,1,SAMBALPUR,SAMBALPUR,SALE IMMOVABLE,10-Nov-2004,10-Nov-2004,2700,2920,201,10-Nov-2004
911060400792,1,KENDUJHAR,HATADIHI,SALE IMMOVABLE,29-May-2004,29-May-2004,29000,792,35,29-May-2004
910230602974,1,BHADRAK,BHADRAK,SALE IMMOVABLE,18-Jul-2006,18-Jul-2006,187500,2974,185,18-Jul-2006
910150200909,1,BARAGADA,BARAGADA,SALE IMMOVABLE,30-Apr-2002,30-Apr-2002,45000,909,832,30-Apr-2002
911080611962,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,27-Nov-2006,27-Nov-2006,188125,11962,382,27-Nov-2006
910570601536,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,01-Jun-2006,01-Jun-2006,7560,1536,2807,01-Jun-2006
911080607391,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,13-Jul-2006,13-Jul-2006,120000,7391,236,13-Jul-2006
910470300534,1,KATAKA,SALEPUR,SALE IMMOVABLE,15-Mar-2003,15-Mar-2003,1006700,534,30,15-Mar-2003
911080505483,1,KHORDHA,KHORDHA(BBSR),LEASE WITH ADVANCE ONLY(IMMOVABLE),12-May-2005,15-May-2005,6600,5483,337,15-May-2005
910060305753,1,BALESHWAR,BALESHWAR,SALE IMMOVABLE,29-Jul-2003,29-Jul-2003,80000,5753,360,29-Jul-2003
911380100447,1,NAYAGADA,DASHAPALLA,SALE IMMOVABLE,10-May-2001,10-May-2001,10500,447,15,10-May-2001
910680100238,1,GANJAM,PURUSOTTAMPUR,SALE IMMOVABLE,09-Feb-2001,09-Feb-2001,1980,238,1871,09-Feb-2001
910100203698,1,BALESHWAR,JALESWARPUR,SALE IMMOVABLE,15-Nov-2002,15-Nov-2002,4000,3698,125,15-Nov-2002
910150100257,1,BARAGADA,BARAGADA,SALE IMMOVABLE,01-Feb-2001,01-Feb-2001,34650,257,717,01-Feb-2001
911510101470,1,PURI,KAKATPUR,SALE IMMOVABLE,19-Jun-2001,19-Jun-2001,15750,1470,41,19-Jun-2001
910400101556,1,KATAKA,ATHAGADA,SALE IMMOVABLE,22-Sep-2001,22-Sep-2001,18750,1556,41,22-Sep-2001
910930402802,1,KENDRAPADA,KENDRAPADA,GIFT IMMOVABLE,16-Oct-2004,16-Oct-2004,66000,2802,87,16-Oct-2004
911080303968,1,KHORDHA,KHORDHA(BBSR),SALE IMMOVABLE,28-May-2003,28-May-2003,2640,3968,265,28-May-2003
910780301717,1,JAJPUR,JAJPUR,SALE IMMOVABLE,11-Nov-2003,11-Nov-2003,10000,1717,81,11-Nov-2003
911130602336,1,KHORDHA,KHANDAGIRI,POA WITH POSSESSION,25-Mar-2006,25-Mar-2006,0,2336,159,25-Mar-2006
911120501888,1,KHORDHA,JATANI,LEASE WITH ADVANCE ONLY(IMMOVABLE),23-Jul-2005,23-Jul-2005,0,1888,115,23-Jul-2005
911600600941,1,RAYAGADA,GUNUPUR,SALE IMMOVABLE,01-Jul-2006,01-Jul-2006,10000,941,899,01-Jul-2006
910080101125,1,BALESHWAR,BASTA,SALE IMMOVABLE,10-Apr-2001,10-Apr-2001,24000,1125,37,10-Apr-2001
911500400905,1,PURI,GOP,SALE IMMOVABLE,18-Jun-2004,18-Jun-2004,81000,905,36,18-Jun-2004
910930401088,1,KENDRAPADA,KENDRAPADA,SALE IMMOVABLE,01-May-2004,01-May-2004,6600,1088,35,01-May-2004
910430401556,1,KATAKA,JAGATPUR,SALE IMMOVABLE,07-Aug-2004,07-Aug-2004,27350,1556,89,07-Aug-2004
910860501601,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,23-Jun-2005,23-Jun-2005,100000,1601,101,23-Jun-2005
911360100151,1,NABARANGPUR,UMARKOT,SALE IMMOVABLE,19-Feb-2001,19-Feb-2001,15000,151,320,19-Feb-2001
910320401694,1,BALANGIR,PATNAGARH,SALE IMMOVABLE,01-Dec-2004,01-Dec-2004,600,1694,89,01-Dec-2004
910470201187,1,KATAKA,SALEPUR,SALE IMMOVABLE,20-May-2002,20-May-2002,21600,1187,40,20-May-2002
910570301900,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,04-Jun-2003,04-Jun-2003,10420,1900,2492,04-Jun-2003
911300600611,1,MAYURBHANJ,KARANJIA,SALE IMMOVABLE,03-Jul-2006,03-Jul-2006,65000,611,32,03-Jul-2006
911720500114,1,SUNDARAGADA,BANAIGADA,SALE IMMOVABLE,01-Feb-2005,01-Feb-2005,89000,114,6,01-Feb-2005
910760401484,1,JAGATSINGHPUR,RAGHUNATHPUR,SALE IMMOVABLE,20-Dec-2004,20-Dec-2004,9472,1484,89,20-Dec-2004
911140602747,1,KHORDHA,KHORDHA,SALE IMMOVABLE,20-Dec-2006,20-Dec-2006,58000,2747,135,20-Dec-2006
910420201576,1,KATAKA,BADAMBA,SALE IMMOVABLE,24-Jul-2002,24-Jul-2002,39000,1576,41,24-Jul-2002
910180100739,1,BARAGADA,SOHELLA,SALE IMMOVABLE,28-Mar-2001,28-Mar-2001,11000,739,586,28-Mar-2001
911180200791,1,KORAPUT,BARIGUMA,SALE IMMOVABLE,15-Nov-2002,15-Nov-2002,8000,791,389,15-Nov-2002
910610402556,1,GANJAM,BRAHMAPUR-I,SALE IMMOVABLE,14-May-2004,14-May-2004,310156,2556,3111,14-May-2004
910100003439,1,BALESHWAR,JALESWARPUR,SALE IMMOVABLE,27-Nov-2000,27-Nov-2000,24000,3439,103,27-Nov-2000
910880402338,1,KALAHANDI,BHABANIPATANA,SALE IMMOVABLE,01-Dec-2004,01-Dec-2004,32800,2338,145,01-Dec-2004
910230103452,1,BHADRAK,BHADRAK,SALE IMMOVABLE,22-Oct-2001,22-Oct-2001,10500,3452,109,22-Oct-2001
911020600209,1,KENDUJHAR,SAINKUL,SALE IMMOVABLE,01-Feb-2006,01-Feb-2006,2000,209,10,01-Feb-2006
910150601155,1,BARAGADA,BARAGADA,SALE IMMOVABLE,03-Jun-2006,03-Jun-2006,5000,1155,1585,03-Jun-2006
911660600290,1,SUBARNAPUR,SONPUR,SALE IMMOVABLE,18-Feb-2006,18-Feb-2006,27300,290,17,18-Feb-2006
911700100816,1,SUNDARAGADA,SUNDARAGADA,SALE IMMOVABLE,03-Aug-2001,03-Aug-2001,5000,816,32,03-Aug-2001
910780000910,1,JAJPUR,JAJPUR,SALE IMMOVABLE,20-May-2000,20-May-2000,700,910,29,20-May-2000
910470400829,1,KATAKA,SALEPUR,SALE IMMOVABLE,15-Apr-2004,15-Apr-2004,45700,829,48,15-Apr-2004
911420001199,1,NUAPADA,NUAPADA,SALE IMMOVABLE,29-Jun-2000,29-Jun-2000,50000,1199,210,29-Jun-2000
911130106458,1,KHORDHA,KHANDAGIRI,RECONVEYANCE OF MORTGAGE,26-Dec-2001,26-Dec-2001,50000,6458,267,26-Dec-2001
910820001219,1,JAJPUR,DOLIPUR,SALE IMMOVABLE,05-May-2000,05-May-2000,24000,1219,33,05-May-2000
911120101707,1,KHORDHA,JATANI,SALE IMMOVABLE,22-Sep-2001,22-Sep-2001,0,1707,59,22-Sep-2001
910320400485,1,BALANGIR,PATNAGARH,SALE IMMOVABLE,01-Mar-2004,01-Mar-2004,50000,485,24,01-Mar-2004
910500302814,1,DHENKANAL,DHENKANAL,SALE IMMOVABLE,05-Aug-2003,09-Jul-2003,20000,2814,131,09-Jul-2003
910180201929,1,BARAGADA,SOHELLA,GIFT IMMOVABLE,07-Oct-2002,07-Oct-2002,20000,1929,670,07-Oct-2002
910860000152,1,JHARSUGUDA,JHARSUGUDA,SALE IMMOVABLE,05-Feb-2000,05-Feb-2000,103300,152,335,05-Feb-2000
911660601470,1,SUBARNAPUR,SONPUR,SALE IMMOVABLE,01-Aug-2006,01-Aug-2006,17700,1470,76,01-Aug-2006
910100100843,1,BALESHWAR,JALESWARPUR,SALE IMMOVABLE,15-Mar-2001,15-Mar-2001,9600,843,29,15-Mar-2001
910570401805,1,GANJAM,CHHATRAPUR,SALE IMMOVABLE,24-May-2004,24-May-2004,20806,1805,2593,24-May-2004
910930400523,1,KENDRAPADA,KENDRAPADA,SALE IMMOVABLE,01-Mar-2004,01-Mar-2004,22000,523,18,01-Mar-2004
910390001111,1,KATAKA,KATAKA,SALE IMMOVABLE,10-Apr-2000,10-Apr-2000,25000,1111,42,10-Apr-2000
910030400442,1,ANUGOLA,CHHENDIPADA,SALE IMMOVABLE,23-Jun-2004,23-Jun-2004,17250,442,26,23-Jun-2004
911110100121,1,KHORDHA,BEGUNIA,SALE IMMOVABLE,09-Feb-2001,09-Feb-2001,32100,121,4,09-Feb-2001
911480305442,1,PURI,PURI,SALE IMMOVABLE,31-Dec-2003,31-Dec-2003,21000,5442,222,31-Dec-2003
911260603456,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,26-Oct-2006,26-Oct-2006,290000,3456,97,26-Oct-2006
910810202607,1,JAJPUR,DHARMASHALA,SALE IMMOVABLE,11-Nov-2002,11-Nov-2002,10000,2607,74,11-Nov-2002
911260403209,1,MAYURBHANJ,MAYURBHANJ,SALE IMMOVABLE,11-Oct-2004,11-Oct-2004,90000,3209,117,11-Oct-2004
910950000904,1,KENDRAPADA,GARADPUR,SALE IMMOVABLE,29-Jun-2000,29-Jun-2000,24000,904,238,29-Jun-2000
910990501538,1,KENDRAPADA,KANIKA,SALE IMMOVABLE,30-Dec-2005,30-Dec-2005,15000,1538,46,30-Dec-2005
910240101675,1,BHADRAK,BASUDEVPUR,SALE IMMOVABLE,04-Jul-2001,04-Jul-2001,67000,1675,47,04-Jul-2001
910130300015,1,BALESHWAR,SIMULIA,SALE IMMOVABLE,10-Jan-2003,10-Jan-2003,56000,15,1,10-Jan-2003
